order_date,region,state,city,category,sub_category,product_name,customer_id,segment,sales,profit,quantity,discount,profit_status
2016-11-08,South,Kentucky,Henderson,Furniture,Bookcases,Bush Somerset Collection Bookcase,CG-12520,Consumer,261.96,41.91,2.00,0.00,Profit
2016-11-08,South,Kentucky,Henderson,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs; Rounded Back,CG-12520,Consumer,731.94,219.58,3.00,0.00,Profit
2016-06-12,West,California,Los Angeles,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,DV-13045,Corporate,14.62,6.87,2.00,0.00,Profit
2015-10-11,South,Florida,Fort Lauderdale,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,SO-20335,Consumer,957.58,-383.03,5.00,0.45,Loss
2015-10-11,South,Florida,Fort Lauderdale,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,SO-20335,Consumer,22.37,2.52,2.00,0.20,Profit
2014-06-09,West,California,Los Angeles,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories; Cherry Wood,BH-11710,Consumer,48.86,14.17,7.00,0.00,Profit
2014-06-09,West,California,Los Angeles,Office Supplies,Art,Newell 322,BH-11710,Consumer,7.28,1.97,4.00,0.00,Profit
2014-06-09,West,California,Los Angeles,Technology,Phones,Mitel 5320 IP Phone VoIP phone,BH-11710,Consumer,907.15,90.72,6.00,0.20,Profit
2014-06-09,West,California,Los Angeles,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,BH-11710,Consumer,18.50,5.78,3.00,0.20,Profit
2014-06-09,West,California,Los Angeles,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,BH-11710,Consumer,114.90,34.47,5.00,0.00,Profit
2014-06-09,West,California,Los Angeles,Furniture,Tables,Chromcraft Rectangular Conference Tables,BH-11710,Consumer,1706.18,85.31,9.00,0.20,Profit
2014-06-09,West,California,Los Angeles,Technology,Phones,Konftel 250 Conference phone - Charcoal black,BH-11710,Consumer,911.42,68.36,4.00,0.20,Profit
2017-04-15,South,North Carolina,Concord,Office Supplies,Paper,Xerox 1967,AA-10480,Consumer,15.55,5.44,3.00,0.20,Profit
2016-12-05,West,Washington,Seattle,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,IM-15070,Consumer,407.98,132.59,3.00,0.20,Profit
2015-11-22,Central,Texas,Fort Worth,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner; Very Large Room; HEPA Filter,HP-14815,Home Office,68.81,-123.86,5.00,0.80,Loss
2015-11-22,Central,Texas,Fort Worth,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,HP-14815,Home Office,2.54,-3.82,3.00,0.80,Loss
2014-11-11,Central,Wisconsin,Madison,Office Supplies,Storage,"Stur-D-Stor Shelving; Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",PK-19075,Consumer,665.88,13.32,6.00,0.00,Profit
2014-05-13,West,Utah,West Jordan,Office Supplies,Storage,Fellowes Super Stor/Drawer,AG-10270,Consumer,55.50,9.99,2.00,0.00,Profit
2014-08-27,West,California,San Francisco,Office Supplies,Art,Newell 341,ZD-21925,Consumer,8.56,2.48,2.00,0.00,Profit
2014-08-27,West,California,San Francisco,Technology,Phones,Cisco SPA 501G IP Phone,ZD-21925,Consumer,213.48,16.01,3.00,0.20,Profit
2014-08-27,West,California,San Francisco,Office Supplies,Binders,"Wilson Jones Hanging View Binder; White; 1""",ZD-21925,Consumer,22.72,7.38,4.00,0.20,Profit
2016-12-09,Central,Nebraska,Fremont,Office Supplies,Art,Newell 318,KB-16585,Corporate,19.46,5.06,7.00,0.00,Profit
2016-12-09,Central,Nebraska,Fremont,Office Supplies,Appliances,Acco Six-Outlet Power Strip; 4' Cord Length,KB-16585,Corporate,60.34,15.69,7.00,0.00,Profit
2017-07-16,East,Pennsylvania,Philadelphia,Furniture,Chairs,Global Deluxe Stacking Chair; Gray,SF-20065,Consumer,71.37,-1.02,2.00,0.30,Loss
2015-09-25,West,Utah,Orem,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,EB-13870,Consumer,1044.63,240.26,3.00,0.00,Profit
2016-01-16,West,California,Los Angeles,Office Supplies,Binders,Wilson Jones Active Use Binders,EH-13945,Consumer,11.65,4.22,2.00,0.20,Profit
2016-01-16,West,California,Los Angeles,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,EH-13945,Consumer,90.57,11.77,3.00,0.00,Profit
2015-09-17,East,Pennsylvania,Philadelphia,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase; Royale Cherry Finish,TB-21520,Consumer,3083.43,-1665.05,7.00,0.50,Loss
2015-09-17,East,Pennsylvania,Philadelphia,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,TB-21520,Consumer,9.62,-7.05,2.00,0.70,Loss
2015-09-17,East,Pennsylvania,Philadelphia,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",TB-21520,Consumer,124.20,15.53,3.00,0.20,Profit
2015-09-17,East,Pennsylvania,Philadelphia,Office Supplies,Envelopes,Poly String Tie Envelopes,TB-21520,Consumer,3.26,1.10,2.00,0.20,Profit
2015-09-17,East,Pennsylvania,Philadelphia,Office Supplies,Art,BOSTON Model 1800 Electric Pencil Sharpeners; Putty/Woodgrain,TB-21520,Consumer,86.30,9.71,6.00,0.20,Profit
2015-09-17,East,Pennsylvania,Philadelphia,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks; 14 7/8"" x 11""; Executive Red",TB-21520,Consumer,6.86,-5.72,6.00,0.70,Loss
2015-09-17,East,Pennsylvania,Philadelphia,Office Supplies,Art,Lumber Crayons,TB-21520,Consumer,15.76,3.55,2.00,0.20,Profit
